feedback_id,created_at,source,customer_id,customer_segment,product_area,feedback_text,rating,app_version,region,monthly_revenue,label,sentiment_label,severity_label
FB-0693,2026-05-02,Feature Request,CUST-1189,Mid-Market,Dashboard,Important payment information is difficult to find.,3,4.0.0,United Kingdom,74647,Dashboard Usability,Neutral,Low
FB-0719,2026-05-02,Support Ticket,CUST-1233,Free,Authentication,The OTP for login never arrives.,3,4.1.0,India,0,Login Problem,Negative,High
FB-0167,2026-05-03,Feature Request,CUST-1098,SMB,Refunds,The refund status has been pending for a week.,1,4.1.0,United Kingdom,5509,Refund Delay,Negative,High
FB-0180,2026-05-03,Survey,CUST-1219,Mid-Market,Performance,The dashboard takes too long to load.,3,4.0.0,United States,62091,Slow Application,Negative,Medium
FB-0281,2026-05-03,Support Ticket,CUST-1153,Mid-Market,General,The new dashboard is clean and helpful.,4,4.1.0,UAE,64300,Positive Experience,Positive,Low
FB-0435,2026-05-03,Support Ticket,CUST-1301,Mid-Market,Authentication,The OTP for login never arrives.,1,4.0.0,United States,23599,Login Problem,Negative,High
FB-0577,2026-05-03,Support Ticket,CUST-1248,SMB,Dashboard,The analytics screen needs clearer filters.,4,4.1.0,United States,4207,Dashboard Usability,Neutral,Low
FB-0613,2026-05-03,Feature Request,CUST-1260,Enterprise,Refunds,My refund has not arrived after ten days.,2,4.0.0,Singapore,176325,Refund Delay,Negative,High
FB-0743,2026-05-03,Sales Note,CUST-1298,SMB,Reporting,Please add an option to export invoices to Excel.,3,4.1.0,Singapore,13522,Invoice Export,Neutral,Medium
FB-0357,2026-05-04,Survey,CUST-1000,SMB,Authentication,Biometric login stopped working after the update.,2,4.0.0,India,13361,Login Problem,Negative,High
FB-0414,2026-05-04,App Store Review,CUST-1331,SMB,Reporting,We need bulk invoice downloads for accounting.,4,4.0.0,United Kingdom,11375,Invoice Export,Neutral,Medium
FB-0449,2026-05-04,Feature Request,CUST-1249,Enterprise,Integrations,Please add an integration with our accounting software.,5,4.0.0,Singapore,265652,Integration Request,Positive,Medium
FB-0483,2026-05-05,Sales Note,CUST-1036,Free,Payments,I was charged twice for the same transaction.,1,4.1.0,United States,0,Payment Failure,Negative,Critical
FB-0642,2026-05-05,Survey,CUST-1044,Free,Authentication,I cannot log in even though my password is correct.,1,4.1.0,Singapore,0,Login Problem,Negative,High
FB-0718,2026-05-05,Sales Note,CUST-1023,SMB,Dashboard,Important payment information is difficult to find.,4,4.1.0,United Kingdom,2312,Dashboard Usability,Neutral,Low
FB-0741,2026-05-05,Feature Request,CUST-1253,SMB,Reporting,We need bulk invoice downloads for accounting.,3,4.0.0,UAE,13413,Invoice Export,Neutral,Medium
FB-0093,2026-05-06,Survey,CUST-1092,SMB,Integrations,Please connect FlowPay with more CRM platforms.,5,4.1.0,India,10502,Integration Request,Positive,Medium
FB-0104,2026-05-06,App Store Review,CUST-1253,SMB,Refunds,My refund has not arrived after ten days.,1,4.1.0,UAE,8246,Refund Delay,Negative,High
FB-0149,2026-05-06,App Store Review,CUST-1154,Enterprise,Authentication,The OTP for login never arrives.,1,4.0.0,United States,89361,Login Problem,Negative,High
FB-0301,2026-05-06,Survey,CUST-1220,Mid-Market,Performance,The dashboard takes too long to load.,1,4.1.0,India,57385,Slow Application,Negative,Medium
FB-0450,2026-05-06,Survey,CUST-1265,Mid-Market,Payments,I was charged twice for the same transaction.,3,4.0.0,India,15811,Payment Failure,Negative,Critical
FB-0615,2026-05-06,Feature Request,CUST-1080,SMB,Authentication,I cannot log in even though my password is correct.,2,4.1.0,United States,7465,Login Problem,Negative,High
FB-0637,2026-05-06,App Store Review,CUST-1074,Enterprise,Integrations,A Shopify integration would simplify our workflow.,4,4.0.0,Singapore,223241,Integration Request,Positive,Medium
FB-0056,2026-05-07,App Store Review,CUST-1237,Enterprise,Performance,Transaction history freezes when I scroll.,2,4.1.0,UAE,106814,Slow Application,Negative,Medium
FB-0129,2026-05-07,Support Ticket,CUST-1283,SMB,Integrations,A Shopify integration would simplify our workflow.,4,4.0.0,United Kingdom,4063,Integration Request,Positive,Medium
FB-0179,2026-05-07,Support Ticket,CUST-1056,Mid-Market,Authentication,Biometric login stopped working after the update.,3,4.1.0,UAE,55817,Login Problem,Negative,High
FB-0331,2026-05-07,Feature Request,CUST-1335,SMB,Reporting,Please add an option to export invoices to Excel.,4,4.0.0,India,13459,Invoice Export,Neutral,Medium
FB-0369,2026-05-07,Feature Request,CUST-1015,Mid-Market,Authentication,Biometric login stopped working after the update.,2,4.1.0,United Kingdom,68850,Login Problem,Negative,High
FB-0391,2026-05-07,Sales Note,CUST-1276,SMB,Payments,Checkout keeps loading and the payment never completes.,2,4.1.0,United States,5112,Payment Failure,Negative,Critical
FB-0453,2026-05-07,App Store Review,CUST-1040,Mid-Market,Reporting,Invoice export would save our finance team several hours.,3,4.1.0,UAE,39815,Invoice Export,Neutral,Medium
FB-0475,2026-05-07,Feature Request,CUST-1293,Mid-Market,Integrations,We would like API support for transaction reconciliation.,4,4.1.0,United States,70257,Integration Request,Positive,Medium
FB-0397,2026-05-08,Survey,CUST-1277,Mid-Market,Authentication,Biometric login stopped working after the update.,3,4.0.0,United Kingdom,21338,Login Problem,Negative,High
FB-0569,2026-05-08,App Store Review,CUST-1098,SMB,Refunds,I cannot see when my refund will be processed.,2,4.1.0,India,10899,Refund Delay,Negative,High
FB-0646,2026-05-08,Feature Request,CUST-1309,Mid-Market,Payments,Checkout keeps loading and the payment never completes.,2,4.0.0,UAE,56221,Payment Failure,Negative,Critical
FB-0691,2026-05-08,Survey,CUST-1319,Mid-Market,Performance,The dashboard takes too long to load.,2,4.0.0,Singapore,52543,Slow Application,Negative,Medium
FB-0011,2026-05-09,App Store Review,CUST-1335,Enterprise,Authentication,Biometric login stopped working after the update.,2,4.1.0,Singapore,263197,Login Problem,Negative,High
FB-0145,2026-05-09,Sales Note,CUST-1110,Mid-Market,Authentication,Biometric login stopped working after the update.,2,4.0.0,Singapore,17010,Login Problem,Negative,High
FB-0193,2026-05-09,Sales Note,CUST-1016,Mid-Market,Authentication,The OTP for login never arrives.,2,4.1.0,United States,38734,Login Problem,Negative,High
FB-0368,2026-05-09,Support Ticket,CUST-1169,Mid-Market,Authentication,I cannot log in even though my password is correct.,1,4.0.0,Singapore,68039,Login Problem,Negative,High
FB-0627,2026-05-09,Survey,CUST-1234,Enterprise,Authentication,The OTP for login never arrives.,2,4.1.0,Singapore,190156,Login Problem,Negative,High
FB-0059,2026-05-10,Sales Note,CUST-1041,SMB,Dashboard,Important payment information is difficult to find.,3,4.1.0,United Kingdom,7502,Dashboard Usability,Neutral,Low
FB-0084,2026-05-10,Sales Note,CUST-1155,Mid-Market,Performance,The dashboard takes too long to load.,1,4.0.0,India,24944,Slow Application,Negative,Medium
FB-0090,2026-05-10,Feature Request,CUST-1063,Mid-Market,Payments,The app crashed while I was paying by card.,2,4.1.0,Singapore,53997,Payment Failure,Negative,Critical
FB-0113,2026-05-10,Feature Request,CUST-1128,SMB,Reporting,Invoice export would save our finance team several hours.,3,4.1.0,United Kingdom,11626,Invoice Export,Neutral,Medium
FB-0159,2026-05-10,Survey,CUST-1039,SMB,Refunds,My refund has not arrived after ten days.,3,4.1.0,UAE,2932,Refund Delay,Negative,High
FB-0168,2026-05-10,Survey,CUST-1316,Mid-Market,Refunds,The refund status has been pending for a week.,3,4.0.0,Singapore,48272,Refund Delay,Negative,High
FB-0209,2026-05-10,Feature Request,CUST-1104,SMB,Dashboard,Please allow us to customize dashboard widgets.,4,4.1.0,United Kingdom,8809,Dashboard Usability,Neutral,Low
FB-0362,2026-05-10,App Store Review,CUST-1054,Free,General,The new dashboard is clean and helpful.,5,4.0.0,Singapore,0,Positive Experience,Positive,Low
FB-0683,2026-05-10,Feature Request,CUST-1069,Free,Performance,The dashboard takes too long to load.,1,4.1.0,Singapore,0,Slow Application,Negative,Medium
FB-0709,2026-05-10,Feature Request,CUST-1076,SMB,Performance,The dashboard takes too long to load.,1,4.0.0,Singapore,9305,Slow Application,Negative,Medium
FB-0019,2026-05-11,App Store Review,CUST-1337,Mid-Market,Dashboard,The analytics screen needs clearer filters.,4,4.0.0,United Kingdom,64847,Dashboard Usability,Neutral,Low
FB-0190,2026-05-11,App Store Review,CUST-1227,SMB,Refunds,I cannot see when my refund will be processed.,2,4.1.0,India,9305,Refund Delay,Negative,High
FB-0344,2026-05-11,Feature Request,CUST-1300,SMB,Reporting,Please add an option to export invoices to Excel.,3,4.1.0,Singapore,4545,Invoice Export,Neutral,Medium
FB-0401,2026-05-11,Sales Note,CUST-1132,SMB,General,Customer support resolved my problem quickly.,4,4.0.0,India,12276,Positive Experience,Positive,Low
FB-0688,2026-05-11,Support Ticket,CUST-1350,Mid-Market,Performance,Transaction history freezes when I scroll.,3,4.1.0,India,31072,Slow Application,Negative,Medium
FB-0692,2026-05-11,Survey,CUST-1067,Free,Authentication,The app keeps signing me out.,2,4.1.0,United States,0,Login Problem,Negative,High
FB-0027,2026-05-12,Feature Request,CUST-1246,Enterprise,General,The new dashboard is clean and helpful.,5,4.1.0,India,118598,Positive Experience,Positive,Low
FB-0118,2026-05-12,App Store Review,CUST-1067,SMB,General,Customer support resolved my problem quickly.,5,4.0.0,United Kingdom,8807,Positive Experience,Positive,Low
FB-0288,2026-05-12,Support Ticket,CUST-1013,SMB,Authentication,I cannot log in even though my password is correct.,2,4.1.0,UAE,11088,Login Problem,Negative,High
FB-0289,2026-05-12,Support Ticket,CUST-1149,Mid-Market,Performance,The latest version feels slower than the previous one.,2,4.1.0,India,71605,Slow Application,Negative,Medium
FB-0355,2026-05-12,Survey,CUST-1288,Free,Performance,Transaction history freezes when I scroll.,3,4.0.0,United Kingdom,0,Slow Application,Negative,Medium
FB-0364,2026-05-12,App Store Review,CUST-1167,Mid-Market,Authentication,The OTP for login never arrives.,1,4.0.0,United Kingdom,69159,Login Problem,Negative,High
FB-0393,2026-05-12,App Store Review,CUST-1049,Mid-Market,Refunds,My refund has not arrived after ten days.,1,4.1.0,United Kingdom,54336,Refund Delay,Negative,High
FB-0703,2026-05-12,Sales Note,CUST-1326,Mid-Market,Payments,My payment failed after I entered the OTP.,1,4.0.0,India,73588,Payment Failure,Negative,Critical
FB-0024,2026-05-13,Support Ticket,CUST-1344,SMB,Dashboard,The dashboard navigation is confusing.,3,4.1.0,Singapore,8735,Dashboard Usability,Neutral,Low
FB-0542,2026-05-13,Sales Note,CUST-1134,Mid-Market,Refunds,The refund status has been pending for a week.,2,4.0.0,Singapore,32020,Refund Delay,Negative,High
FB-0547,2026-05-13,Feature Request,CUST-1322,Free,Dashboard,The dashboard navigation is confusing.,3,4.1.0,United States,0,Dashboard Usability,Neutral,Low
FB-0668,2026-05-13,Feature Request,CUST-1118,Mid-Market,Reporting,We need bulk invoice downloads for accounting.,3,4.1.0,UAE,61545,Invoice Export,Neutral,Medium
FB-0675,2026-05-13,Sales Note,CUST-1055,SMB,Integrations,Please connect FlowPay with more CRM platforms.,5,4.0.0,Singapore,8648,Integration Request,Positive,Medium
FB-0699,2026-05-13,Sales Note,CUST-1333,Mid-Market,General,Customer support resolved my problem quickly.,5,4.1.0,United States,70329,Positive Experience,Positive,Low
FB-0069,2026-05-14,Feature Request,CUST-1101,Enterprise,Performance,The dashboard takes too long to load.,3,4.1.0,United Kingdom,225942,Slow Application,Negative,Medium
FB-0070,2026-05-14,Sales Note,CUST-1021,SMB,Dashboard,Please allow us to customize dashboard widgets.,4,4.0.0,Singapore,13210,Dashboard Usability,Neutral,Low
FB-0232,2026-05-14,Sales Note,CUST-1115,Mid-Market,Performance,The mobile application has become very slow.,1,4.0.0,India,30890,Slow Application,Negative,Medium
FB-0460,2026-05-14,Feature Request,CUST-1234,Free,Dashboard,Important payment information is difficult to find.,3,4.0.0,India,0,Dashboard Usability,Neutral,Low
FB-0462,2026-05-14,Sales Note,CUST-1196,Mid-Market,Reporting,Invoice export would save our finance team several hours.,4,4.1.0,United Kingdom,72849,Invoice Export,Neutral,Medium
FB-0486,2026-05-14,Survey,CUST-1224,Mid-Market,Refunds,Support confirmed a refund but I have not received it.,2,4.0.0,India,54752,Refund Delay,Negative,High
FB-0555,2026-05-14,Support Ticket,CUST-1203,Enterprise,Payments,I was charged twice for the same transaction.,1,4.0.0,India,199043,Payment Failure,Negative,Critical
FB-0666,2026-05-14,App Store Review,CUST-1305,Free,Reporting,Invoice export would save our finance team several hours.,4,4.1.0,United States,0,Invoice Export,Neutral,Medium
FB-0671,2026-05-14,Sales Note,CUST-1332,Mid-Market,Reporting,Please add an option to export invoices to Excel.,3,4.1.0,UAE,22012,Invoice Export,Neutral,Medium
FB-0036,2026-05-15,Survey,CUST-1309,Mid-Market,General,The new dashboard is clean and helpful.,5,4.1.0,United Kingdom,25188,Positive Experience,Positive,Low
FB-0131,2026-05-15,Survey,CUST-1121,Free,Dashboard,Please allow us to customize dashboard widgets.,3,4.0.0,United Kingdom,0,Dashboard Usability,Neutral,Low
FB-0296,2026-05-15,Sales Note,CUST-1013,SMB,General,The application is easy to use and reliable.,4,4.0.0,Singapore,10939,Positive Experience,Positive,Low
FB-0304,2026-05-15,Survey,CUST-1233,Mid-Market,Integrations,A Shopify integration would simplify our workflow.,5,4.1.0,United States,37829,Integration Request,Positive,Medium
FB-0457,2026-05-15,Survey,CUST-1324,Mid-Market,Payments,Checkout keeps loading and the payment never completes.,3,4.1.0,UAE,15144,Payment Failure,Negative,Critical
FB-0633,2026-05-15,Feature Request,CUST-1211,Mid-Market,Authentication,The app keeps signing me out.,2,4.0.0,India,73611,Login Problem,Negative,High
FB-0656,2026-05-15,Support Ticket,CUST-1139,Mid-Market,Integrations,Please connect FlowPay with more CRM platforms.,4,4.1.0,Singapore,61221,Integration Request,Positive,Medium
FB-0031,2026-05-16,Sales Note,CUST-1041,Mid-Market,General,The application is easy to use and reliable.,5,4.0.0,United States,52941,Positive Experience,Positive,Low
FB-0312,2026-05-16,App Store Review,CUST-1261,Free,Authentication,Biometric login stopped working after the update.,2,4.1.0,UAE,0,Login Problem,Negative,High
FB-0329,2026-05-16,Feature Request,CUST-1103,SMB,General,The new dashboard is clean and helpful.,5,4.0.0,United Kingdom,9479,Positive Experience,Positive,Low
FB-0541,2026-05-16,Support Ticket,CUST-1345,SMB,Dashboard,Important payment information is difficult to find.,3,4.0.0,UAE,13292,Dashboard Usability,Neutral,Low
FB-0570,2026-05-16,App Store Review,CUST-1017,Mid-Market,General,The new dashboard is clean and helpful.,5,4.1.0,India,40219,Positive Experience,Positive,Low
FB-0712,2026-05-16,Survey,CUST-1205,Enterprise,Performance,The dashboard takes too long to load.,1,4.1.0,United States,169089,Slow Application,Negative,Medium
FB-0367,2026-05-17,Sales Note,CUST-1300,SMB,Authentication,The app keeps signing me out.,1,4.0.0,India,13244,Login Problem,Negative,High
FB-0430,2026-05-17,Feature Request,CUST-1196,Mid-Market,Performance,The dashboard takes too long to load.,1,4.1.0,UAE,41437,Slow Application,Negative,Medium
FB-0540,2026-05-17,Sales Note,CUST-1177,Mid-Market,Payments,The app crashed while I was paying by card.,1,4.0.0,Singapore,46348,Payment Failure,Negative,Critical
FB-0013,2026-05-18,Support Ticket,CUST-1078,Free,Reporting,We need bulk invoice downloads for accounting.,4,4.0.0,Singapore,0,Invoice Export,Neutral,Medium
FB-0184,2026-05-18,Feature Request,CUST-1245,SMB,Payments,The amount was deducted but the order was not confirmed.,1,4.0.0,India,12531,Payment Failure,Negative,Critical
FB-0291,2026-05-18,App Store Review,CUST-1222,SMB,Refunds,I cannot see when my refund will be processed.,2,4.0.0,United States,4390,Refund Delay,Negative,High
FB-0293,2026-05-18,Survey,CUST-1225,Enterprise,Refunds,I cannot see when my refund will be processed.,2,4.1.0,UAE,162089,Refund Delay,Negative,High
FB-0294,2026-05-18,Feature Request,CUST-1160,Mid-Market,Refunds,The refund status has been pending for a week.,2,4.0.0,United States,60567,Refund Delay,Negative,High
FB-0313,2026-05-18,Sales Note,CUST-1085,SMB,Performance,The latest version feels slower than the previous one.,2,4.0.0,United Kingdom,9973,Slow Application,Negative,Medium
FB-0323,2026-05-18,App Store Review,CUST-1067,Mid-Market,General,The new dashboard is clean and helpful.,4,4.1.0,United States,18886,Positive Experience,Positive,Low
FB-0337,2026-05-18,Feature Request,CUST-1161,Mid-Market,Dashboard,Important payment information is difficult to find.,3,4.1.0,United States,40168,Dashboard Usability,Neutral,Low
FB-0517,2026-05-18,Survey,CUST-1306,Mid-Market,Refunds,Support confirmed a refund but I have not received it.,2,4.0.0,United Kingdom,74644,Refund Delay,Negative,High
FB-0546,2026-05-18,Feature Request,CUST-1153,Enterprise,General,Customer support resolved my problem quickly.,4,4.1.0,Singapore,210531,Positive Experience,Positive,Low
FB-0715,2026-05-18,Feature Request,CUST-1199,Free,Payments,My payment failed after I entered the OTP.,3,4.0.0,United States,0,Payment Failure,Negative,Critical
FB-0012,2026-05-19,Sales Note,CUST-1219,SMB,Refunds,Support confirmed a refund but I have not received it.,2,4.1.0,United Kingdom,11197,Refund Delay,Negative,High
FB-0112,2026-05-19,Support Ticket,CUST-1238,Mid-Market,Authentication,The app keeps signing me out.,3,4.1.0,United Kingdom,45119,Login Problem,Negative,High
FB-0156,2026-05-19,App Store Review,CUST-1321,SMB,Refunds,Support confirmed a refund but I have not received it.,2,4.0.0,UAE,4504,Refund Delay,Negative,High
FB-0377,2026-05-19,App Store Review,CUST-1251,SMB,Performance,The dashboard takes too long to load.,1,4.1.0,India,10064,Slow Application,Negative,Medium
FB-0400,2026-05-19,App Store Review,CUST-1098,Mid-Market,Authentication,The OTP for login never arrives.,1,4.0.0,Singapore,26330,Login Problem,Negative,High
FB-0468,2026-05-19,Sales Note,CUST-1016,Mid-Market,Integrations,We would like API support for transaction reconciliation.,5,4.0.0,India,34343,Integration Request,Positive,Medium
FB-0698,2026-05-19,Feature Request,CUST-1347,SMB,Performance,Transaction history freezes when I scroll.,3,4.1.0,India,6731,Slow Application,Negative,Medium
FB-0158,2026-05-20,Survey,CUST-1302,SMB,Reporting,Please add an option to export invoices to Excel.,3,4.1.0,UAE,12344,Invoice Export,Neutral,Medium
FB-0169,2026-05-20,Feature Request,CUST-1022,Enterprise,Authentication,Biometric login stopped working after the update.,2,4.0.0,United Kingdom,277139,Login Problem,Negative,High
FB-0246,2026-05-20,App Store Review,CUST-1298,Enterprise,Authentication,Biometric login stopped working after the update.,1,4.0.0,UAE,190826,Login Problem,Negative,High
FB-0494,2026-05-20,App Store Review,CUST-1002,SMB,Performance,Transaction history freezes when I scroll.,1,4.1.0,United Kingdom,7182,Slow Application,Negative,Medium
FB-0655,2026-05-20,Sales Note,CUST-1084,Free,Refunds,Support confirmed a refund but I have not received it.,1,4.1.0,UAE,0,Refund Delay,Negative,High
FB-0659,2026-05-20,Survey,CUST-1073,Enterprise,Authentication,I cannot log in even though my password is correct.,3,4.1.0,United Kingdom,267006,Login Problem,Negative,High
FB-0307,2026-05-21,Feature Request,CUST-1322,SMB,Refunds,The refund status has been pending for a week.,1,4.0.0,Singapore,9570,Refund Delay,Negative,High
FB-0347,2026-05-21,App Store Review,CUST-1190,SMB,Reporting,We need bulk invoice downloads for accounting.,4,4.1.0,United States,10474,Invoice Export,Neutral,Medium
FB-0474,2026-05-21,App Store Review,CUST-1020,SMB,Performance,The mobile application has become very slow.,2,4.1.0,UAE,7415,Slow Application,Negative,Medium
FB-0575,2026-05-21,Support Ticket,CUST-1182,Mid-Market,Reporting,We need bulk invoice downloads for accounting.,4,4.0.0,UAE,37179,Invoice Export,Neutral,Medium
FB-0579,2026-05-21,Sales Note,CUST-1187,SMB,Payments,The app crashed while I was paying by card.,1,4.1.0,UAE,6844,Payment Failure,Negative,Critical
FB-0626,2026-05-21,Survey,CUST-1211,Free,Authentication,The OTP for login never arrives.,1,4.0.0,United Kingdom,0,Login Problem,Negative,High
FB-0028,2026-05-22,Survey,CUST-1216,Enterprise,Refunds,Support confirmed a refund but I have not received it.,1,4.1.0,United Kingdom,144522,Refund Delay,Negative,High
FB-0665,2026-05-22,Support Ticket,CUST-1066,Mid-Market,Payments,My payment failed after I entered the OTP.,2,4.1.0,India,37200,Payment Failure,Negative,Critical
FB-0046,2026-05-23,Sales Note,CUST-1222,Enterprise,Performance,Transaction history freezes when I scroll.,2,4.0.0,Singapore,85029,Slow Application,Negative,Medium
FB-0239,2026-05-23,Sales Note,CUST-1167,Mid-Market,Performance,The dashboard takes too long to load.,2,4.1.0,India,41575,Slow Application,Negative,Medium
FB-0354,2026-05-23,Support Ticket,CUST-1238,SMB,Authentication,The app keeps signing me out.,2,4.1.0,United States,2752,Login Problem,Negative,High
FB-0376,2026-05-23,Sales Note,CUST-1014,SMB,Authentication,The app keeps signing me out.,3,4.1.0,UAE,14093,Login Problem,Negative,High
FB-0583,2026-05-23,Support Ticket,CUST-1016,SMB,Integrations,Please connect FlowPay with more CRM platforms.,5,4.0.0,UAE,9952,Integration Request,Positive,Medium
FB-0634,2026-05-23,Support Ticket,CUST-1128,Enterprise,Reporting,Can you support PDF and CSV invoice exports?,4,4.1.0,United Kingdom,127936,Invoice Export,Neutral,Medium
FB-0643,2026-05-23,Feature Request,CUST-1296,SMB,Authentication,The app keeps signing me out.,1,4.0.0,India,12828,Login Problem,Negative,High
FB-0707,2026-05-23,App Store Review,CUST-1330,SMB,Reporting,Invoice export would save our finance team several hours.,3,4.1.0,United Kingdom,5287,Invoice Export,Neutral,Medium
FB-0065,2026-05-24,Survey,CUST-1172,SMB,Payments,The app crashed while I was paying by card.,2,4.1.0,Singapore,5467,Payment Failure,Negative,Critical
FB-0236,2026-05-24,Support Ticket,CUST-1152,Enterprise,General,FlowPay makes payment tracking much easier.,5,4.0.0,United States,150883,Positive Experience,Positive,Low
FB-0240,2026-05-24,Survey,CUST-1196,SMB,General,The new dashboard is clean and helpful.,5,4.0.0,United States,6064,Positive Experience,Positive,Low
FB-0314,2026-05-24,Support Ticket,CUST-1248,SMB,Refunds,The refund status has been pending for a week.,1,4.1.0,Singapore,2878,Refund Delay,Negative,High
FB-0384,2026-05-24,Sales Note,CUST-1053,Enterprise,Performance,The latest version feels slower than the previous one.,1,4.0.0,United States,235270,Slow Application,Negative,Medium
FB-0473,2026-05-24,Support Ticket,CUST-1219,Mid-Market,General,Customer support resolved my problem quickly.,5,4.1.0,United Kingdom,22822,Positive Experience,Positive,Low
FB-0491,2026-05-24,Sales Note,CUST-1037,Mid-Market,Dashboard,Please allow us to customize dashboard widgets.,4,4.1.0,India,18565,Dashboard Usability,Neutral,Low
FB-0507,2026-05-24,App Store Review,CUST-1212,Mid-Market,Authentication,The app keeps signing me out.,1,4.0.0,Singapore,68540,Login Problem,Negative,High
FB-0588,2026-05-25,Sales Note,CUST-1285,Mid-Market,Authentication,Biometric login stopped working after the update.,1,4.0.0,UAE,52358,Login Problem,Negative,High
FB-0729,2026-05-25,Feature Request,CUST-1090,Free,Payments,The amount was deducted but the order was not confirmed.,1,4.1.0,India,0,Payment Failure,Negative,Critical
FB-0310,2026-05-26,Sales Note,CUST-1198,SMB,Reporting,Invoice export would save our finance team several hours.,4,4.1.0,India,10019,Invoice Export,Neutral,Medium
FB-0431,2026-05-26,Support Ticket,CUST-1346,Enterprise,Dashboard,The dashboard navigation is confusing.,4,4.0.0,United Kingdom,159467,Dashboard Usability,Neutral,Low
FB-0604,2026-05-26,App Store Review,CUST-1036,Enterprise,Performance,Transaction history freezes when I scroll.,2,4.0.0,United States,212429,Slow Application,Negative,Medium
FB-0032,2026-05-27,App Store Review,CUST-1343,SMB,Dashboard,Please allow us to customize dashboard widgets.,3,4.1.0,United States,6351,Dashboard Usability,Neutral,Low
FB-0061,2026-05-27,Sales Note,CUST-1194,SMB,Integrations,Please connect FlowPay with more CRM platforms.,4,4.0.0,United States,14612,Integration Request,Positive,Medium
FB-0264,2026-05-27,App Store Review,CUST-1060,SMB,Integrations,Please connect FlowPay with more CRM platforms.,4,4.0.0,UAE,2251,Integration Request,Positive,Medium
FB-0309,2026-05-27,Sales Note,CUST-1052,Mid-Market,Refunds,The refund status has been pending for a week.,2,4.0.0,United States,67168,Refund Delay,Negative,High
FB-0358,2026-05-27,App Store Review,CUST-1143,SMB,Performance,The dashboard takes too long to load.,1,4.0.0,United Kingdom,10061,Slow Application,Negative,Medium
FB-0482,2026-05-27,Support Ticket,CUST-1078,Mid-Market,Performance,The dashboard takes too long to load.,2,4.1.0,United States,63587,Slow Application,Negative,Medium
FB-0660,2026-05-27,Support Ticket,CUST-1159,SMB,Dashboard,The dashboard navigation is confusing.,4,4.0.0,UAE,13692,Dashboard Usability,Neutral,Low
FB-0034,2026-05-28,Support Ticket,CUST-1125,Free,Reporting,Can you support PDF and CSV invoice exports?,3,4.1.0,United Kingdom,0,Invoice Export,Neutral,Medium
FB-0148,2026-05-28,Support Ticket,CUST-1145,Free,Dashboard,The analytics screen needs clearer filters.,4,4.1.0,United States,0,Dashboard Usability,Neutral,Low
FB-0342,2026-05-28,Sales Note,CUST-1146,Free,Payments,I was charged twice for the same transaction.,2,4.1.0,Singapore,0,Payment Failure,Negative,Critical
FB-0409,2026-05-28,Support Ticket,CUST-1263,SMB,General,The new dashboard is clean and helpful.,4,4.1.0,United States,9937,Positive Experience,Positive,Low
FB-0417,2026-05-28,Sales Note,CUST-1052,Mid-Market,Reporting,Please add an option to export invoices to Excel.,4,4.1.0,United States,69023,Invoice Export,Neutral,Medium
FB-0511,2026-05-28,App Store Review,CUST-1210,Enterprise,Reporting,We need bulk invoice downloads for accounting.,4,4.0.0,United Kingdom,201267,Invoice Export,Neutral,Medium
